Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
push up hold to side plank,,,,,,,,,
push up plank up combo,,,,,,,,,
push up to side plank,,,,,,,,,
push up with shoulder touch and march,,,,,,,,,
rolling plank,,,,,,,,,
sb hip thrust hold with chest press,,,,,,,,,
sb low hack squat,,,,,,,,,
sb low speed squat,,,,,,,,,
single leg figure 8 dot jumps,,,,,,,,,
single leg pelvic lift right,,,,,,,,,
squat with versa log squeeze,,,,,,,,,
stability ball alternating single leg squat,,,,,,,,,
stability ball hack squat,,,,,,,,,
stability ball hip thrust,,,,,,,,,
stability ball leg curl with hips up on curl,,,,,,,,,
stability ball leg curl,,,,,,,,,
stability ball pelvic lift,,,,,,,,,
stability ball power lunge left,,,,,,,,,
stability ball push up hold with hands on ball,,,,,,,,,
stability ball reverse lunge,,,,,,,,,
stability ball squat,,,,,,,,,
stationary lateral lunge,,,,,,,,,
step 1 db lying extension,,,,,,,,,
step 2 db lying extension,,,,,,,,,
step alternating single leg linear step jump,,,,,,,,,
step body bar chest press,,,,,,,,,
step body bar linear step up with oh press,,,,,,,,,
step body bar lying tricep extension,,,,,,,,,
step body bar squat lateral step squat,,,,,,,,,
step body bar step up with curl,,,,,,,,,
step body bar step up with hip flexion,,,,,,,,,
step calf raise,,,,,,,,,
step db chest flye,,,,,,,,,
step db chest press,,,,,,,,,
step db linear step up with oh press,,,,,,,,,
step db step up with curl,,,,,,,,,
step incline push ups with chest above step,,,,,,,,,
step jacks,,,,,,,,,
step lateral squat with abduction left,,,,,,,,,
step lateral squat with abduction right,,,,,,,,,
step lateral step jump,,,,,,,,,
step lateral step tap,,,,,,,,,
step lateral step up with abduction left,,,,,,,,,
step lateral step up with abduction right,,,,,,,,,
step lateral step up with hip flexion left,,,,,,,,,
step lateral step up with hip flexion right,,,,,,,,,
step linear step jump,,,,,,,,,
step linear step run,,,,,,,,,
step linear step tap,,,,,,,,,
step low crab walk up,,,,,,,,,
step mb lateral squat with abduction and curl left,,,,,,,,,
step mb lateral squat with abduction and curl right,,,,,,,,,
step mb lateral squat with oh press with left,,,,,,,,,
step mb lateral squat with oh press with right,,,,,,,,,
step mb lateral step run,,,,,,,,,
step mb lateral step up with abduction and OH press right,,,,,,,,,
step mb lateral step up with abduction and curl left,,,,,,,,,
step mb lateral step up with abduction and curl right,,,,,,,,,
step mb lateral step up with abduction and oh press with left,,,,,,,,,
step mb linear step run,,,,,,,,,
step mb linear step up with front press,,,,,,,,,
step mb linear step up with oh press,,,,,,,,,
step mb oh lateral step,,,,,,,,,
step mb single leg linear step jump with oh press left,,,,,,,,,
step mb single leg linear step jump with oh press right,,,,,,,,,
step mb squat with front press lateral step squat with front press,,,,,,,,,
step mb squat with front press lateral step up squat with front press,,,,,,,,,
step modified step plyo push up,,,,,,,,,
step modified step walk ups with hip extension,,,,,,,,,
step modified step walk ups,,,,,,,,,
step modified traveling step plyo push up,,,,,,,,,
step modified traveling step push ups,,,,,,,,,
step prone lateral step jumps,,,,,,,,,
step reverse step walk ups,,,,,,,,,
step single leg lateral step jump with hip flexion with the left,,,,,,,,,
step single leg lateral step jump with hip flexion with the right,,,,,,,,,
step single leg linear step jump with left,,,,,,,,,
step single leg linear step jump with right,,,,,,,,,
step single leg linear step up left,,,,,,,,,
step single leg linear step up right,,,,,,,,,
step single leg linear step up with hip flexion left,,,,,,,,,
step single leg linear step up with hip flexion right,,,,,,,,,
step single leg step dips,,,,,,,,,
step split squat left,,,,,,,,,
step split squat right,,,,,,,,,
step squat lateral step jump squat,,,,,,,,,
step squat lateral step squat,,,,,,,,,
step squat lateral step up squat,,,,,,,,,
step squat linear step jump squat,,,,,,,,,
step squat linear step up squat,,,,,,,,,
step step decline push ups,,,,,,,,,
step step dips,,,,,,,,,
step step plank jack,,,,,,,,,
step step up down with lateral step jump,,,,,,,,,
step step up down with push up and lateral step jump,,,,,,,,,
step step up with hip flexion and extension,,,,,,,,,
step step walk up with hip extension,,,,,,,,,
step step walk ups,,,,,,,,,
step traveling step push up,,,,,,,,,
step up with hip extension,,,,,,,,,
step versa bag lateral step run,,,,,,,,,
step versa bag linear step run,,,,,,,,,
step versa bag single leg lateral step up with hip flexion left,,,,,,,,,
step versa bag single leg lateral step up with hip flexion right,,,,,,,,,
step versa bag single leg step up with hip extension left,,,,,,,,,
step versa bag single leg step up with hip extension right,,,,,,,,,
step versa bag single leg step up with hip flexion left,,,,,,,,,
step versa bag single leg step up with hip flexion right,,,,,,,,,
step versa bag squat lateral step squat,,,,,,,,,
step versa bag squat lateral step up squat,,,,,,,,,
step versa bag squat linear step up squat,,,,,,,,,
step versa bag step up with hip extension,,,,,,,,,
step versa bag step up with hip flexion,,,,,,,,,
step wide push up step walk up tricep push up,,,,,,,,,
step wp chest press,,,,,,,,,
step wp lateral step run,,,,,,,,,
step wp lateral step up with curl,,,,,,,,,
step wp linear step run,,,,,,,,,
step wp linear step up with curl,,,,,,,,,
step wp linear step up with oh press,,,,,,,,,
step wp partial rep chest press,,,,,,,,,
step wp single leg lateral step up with hip flexion left,,,,,,,,,
step wp single leg lateral step up with hip flexion right,,,,,,,,,
step wp single leg step up left leg,,,,,,,,,
step wp single leg step up with hip extension left,,,,,,,,,
step wp single leg step up with hip extension right,,,,,,,,,
step wp single leg step up with hip flexion left,,,,,,,,,
step wp single leg step up with hip flexion right,,,,,,,,,
step wp single leg step up with right leg,,,,,,,,,
step wp squat lateral step squat,,,,,,,,,
step wp squat lateral step up squat,,,,,,,,,
step wp squat linear step up squat,,,,,,,,,
step wp step up with curl,,,,,,,,,
step wp step up with hip extension,,,,,,,,,
step wp step up with hip flexion,,,,,,,,,
suspension 120 degree bridge HOLD,,,,,,,,,
suspension 90 degree press hold with hip extension,,,,,,,,,
suspension alligators,,,,,,,,,
suspension alternating low single leg squats,,,,,,,,,
suspension alternating single leg curls,,,,,,,,,
suspension alternating single leg squat with bicep curl,,,,,,,,,
suspension alternating single leg squat with high row,,,,,,,,,
suspension alternating single leg squat with low row,,,,,,,,,
suspension alternating single leg squats,,,,,,,,,
suspension bicep curl crunch,,,,,,,,,
suspension bicep curl low row combo,,,,,,,,,
suspension bicep curl,,,,,,,,,
suspension bridge,,,,,,,,,
suspension chest flye tricep extension combo,,,,,,,,,
suspension chest flye,,,,,,,,,
suspension chest press chest flye combo,,,,,,,,,
suspension chest press hold 45 degrees,,,,,,,,,
suspension chest press hold 90 degrees,,,,,,,,,
suspension chest press narrow grip chest press combo,,,,,,,,,
suspension diagonal half up down,,,,,,,,,
suspension eccentric chest flye,,,,,,,,,
suspension eccentric reverse flye,,,,,,,,,
suspension hack squat hold,,,,,,,,,
suspension hack squat with bicep curl,,,,,,,,,
suspension hack squat with high row,,,,,,,,,
suspension hack squat with lat sweep,,,,,,,,,
suspension hack squat with low row,,,,,,,,,
suspension hack squat,,,,,,,,,
suspension half hack squat hold,,,,,,,,,
suspension half rom chest press,,,,,,,,,
suspension half rom high row,,,,,,,,,
suspension half rom low row,,,,,,,,,
suspension half squat hold with bicep curl,,,,,,,,,
suspension half squat hold with high row,,,,,,,,,
suspension half squat hold with low row,,,,,,,,,
suspension half squat hold with partial rep high row,,,,,,,,,
suspension half squat hold with partial rep low row,,,,,,,,,
suspension half squat hold with reverse flye,,,,,,,,,
suspension half squat hold,,,,,,,,,
suspension half up down,,,,,,,,,
suspension high row bicep curl combo,,,,,,,,,
suspension high row hold at 90 degrees,,,,,,,,,
suspension high row low row combo,,,,,,,,,
suspension high row,,,,,,,,,
suspension lat sweeps,,,,,,,,,
suspension leg curl,,,,,,,,,
suspension low hack squat with bicep curl,,,,,,,,,
suspension low hack squat with high row,,,,,,,,,
suspension low hack squat with low row,,,,,,,,,
suspension low hack squat,,,,,,,,,
suspension low row hold with alternate single leg squat,,,,,,,,,
suspension low row hold with low hack squat,,,,,,,,,
suspension low row hold,,,,,,,,,
suspension low squat with bicep curl,,,,,,,,,
suspension low squat with high row,,,,,,,,,
suspension low squat with low row,,,,,,,,,
suspension marching squat hold with bicep curl hold,,,,,,,,,
suspension mountain climbers,,,,,,,,,
suspension narrow grip chest press,,,,,,,,,
suspension narrow grip half rom chest press,,,,,,,,,
suspension plank-ups with feet in straps,,,,,,,,,
suspension plank,,,,,,,,,
suspension push up hold with high knees and soft elbows,,,,,,,,,
suspension push up hold with high knees at 90 degrees,,,,,,,,,
suspension push up hold with march and soft elbows,,,,,,,,,
suspension push up plank up combo with feet in straps,,,,,,,,,
suspension reverse flye high row combo,,,,,,,,,
suspension reverse flye,,,,,,,,,
suspension reverse lunge and bicep curl,,,,,,,,,
suspension reverse lunge with high row,,,,,,,,,
suspension reverse lunge with low row,,,,,,,,,
suspension reverse lunge,,,,,,,,,
suspension single leg squat left,,,,,,,,,
suspension single leg squat right,,,,,,,,,
suspension speed squat,,,,,,,,,
suspension squat hold with bicep curl,,,,,,,,,
suspension squat hold with high row low row combo,,,,,,,,,
suspension squat hold with low row,,,,,,,,,
suspension squat hold with partial rep high row,,,,,,,,,
suspension squat hold with partial rep low row,,,,,,,,,
suspension squat hold,,,,,,,,,
suspension squat with bicep curl,,,,,,,,,
suspension squat with high row,,,,,,,,,
suspension squat with low row,,,,,,,,,
suspension squat with reverse flye,,,,,,,,,
suspension squat with straight arm front raise,,,,,,,,,
suspension squat with y flye,,,,,,,,,
suspension squat,,,,,,,,,
suspension straight arm front raise,,,,,,,,,
suspension tricep extension,,,,,,,,,
suspension v sit hold with front press,,,,,,,,,
suspension y flye,,,,,,,,,
upper body crunch with feet off floor,,,,,,,,,
upper body twist crunch right with feet on floor,,,,,,,,,
versa log squat with oh press and vertical log squeeze,,,,,,,,,
wall calf raise,,,,,,,,,
wall march,,,,,,,,,
wall push ups,,,,,,,,,
wall runs,,,,,,,,,
wall sit with bag squeeze,,,,,,,,,
wall sit with foam roll,,,,,,,,,
wall sit,,,,,,,,,
wall ups max height,,,,,,,,,
wall ups,,,,,,,,,
windshield wipers,,,,,,,,,
wp oh squats,,,,,,,,,
band high alternating supinated band rows start in,,,,,,,,,
band high band 1 arm row right,,,,,,,,,
band high band alt lat pulldowns and arms start down,,,,,,,,,
band high band alt lat pulldowns arms start up,,,,,,,,,
band high band continuous squat with row and row as you stand,,,,,,,,,
band high band half hack squat hold with supinated row,,,,,,,,,
band high band half lunge hold with one arm lat sweep left,,,,,,,,,
band high band half lunge hold with one arm lat sweep right,,,,,,,,,
band high band high row hold with reverse lunge,,,,,,,,,
band high band lat pulldown,,,,,,,,,
band high band lat sweep,,,,,,,,,
band high band lunge hold with one arm lat sweep with left,,,,,,,,,
band high band lunge hold with one arm lat sweep with right,,,,,,,,,
band high band overhead tricep extension,,,,,,,,,
band high band row hold with alternating one arm row,,,,,,,,,
band high band row hold with bw squats,,,,,,,,,
band high band squat with row at bottom,,,,,,,,,
band high hack squat hold with row,,,,,,,,,
band high hack squat hold with supinated row,,,,,,,,,
band high hack squat with band sweep as you stand,,,,,,,,,
band high half hack squat hold with row,,,,,,,,,
band high half hack squat hold with supinated row,,,,,,,,,
band high half squat hold with supinated row,,,,,,,,,
band high half sumo squat hold with row,,,,,,,,,
band high half sumo squat hold with supinated row,,,,,,,,,
band high reverse lunge with row at bottom right,,,,,,,,,
band high reverse lunge with row at top right,,,,,,,,,
band high reverse lunge with row at top with left,,,,,,,,,
band high speed row,,,,,,,,,
band high squat with supinated row at bottom,,,,,,,,,
band high sumo squat hold with supinated row,,,,,,,,,
band high supinated lat pulldown,,,,,,,,,
band high supinated row,,,,,,,,,
band high supinated speed row,,,,,,,,,
band low alternating supinated band rows start in,,,,,,,,,
band low band continuous squat with row row as you stand,,,,,,,,,
band low band high row hold with reverse lunge,,,,,,,,,
band low band low to high chest press,,,,,,,,,
band low band one arm row right,,,,,,,,,
band low band row hold with bw squats,,,,,,,,,
band low band squat with row at bottom,,,,,,,,,
band low band y flye,,,,,,,,,
band low hack squat hold with row,,,,,,,,,
band low hack squat hold with supinated row,,,,,,,,,
band low half hack squat hold with row,,,,,,,,,
band low half hack squat hold with supinated row,,,,,,,,,
band low half squat hold with supinated row,,,,,,,,,
band low half sumo squat hold with supinated row,,,,,,,,,
band low reverse lunge with row at bottom left,,,,,,,,,
band low reverse lunge with row at bottom right and left,,,,,,,,,
band low reverse lunge with row at top left,,,,,,,,,
band low reverse lunge with row at top right,,,,,,,,,
band low row hold with alternating one arm row,,,,,,,,,
band low speed row,,,,,,,,,
band low sumo squat hold with row,,,,,,,,,
band low sumo squat hold with supinated row,,,,,,,,,
band low supinated bicep curl,,,,,,,,,
band low supinated row,,,,,,,,,
band low supinated speed row,,,,,,,,,
band mid alternating supinated band rows start in,,,,,,,,,
band mid band continous squat with row row as you stand,,,,,,,,,
band mid band half squat hold with reverse flye,,,,,,,,,
band mid band high row hold with reverse lunge,,,,,,,,,
band mid band low row high row combo,,,,,,,,,
band mid band lunge hold with one arm row right or left,,,,,,,,,
band mid band one arm row left and right,,,,,,,,,
band mid band one arm row right and left,,,,,,,,,
band mid band reverse flye,,,,,,,,,
band mid band row hold with alternating one arm row,,,,,,,,,
band mid band row hold with bw squats,,,,,,,,,
band mid band squat hold with reverse flye,,,,,,,,,
band mid band squat with row at bottom,,,,,,,,,
band mid band tricep kickback,,,,,,,,,
band mid hack squat hold with row,,,,,,,,,
band mid hack squat hold with supinated row,,,,,,,,,
band mid half hack squat hold with row,,,,,,,,,
band mid half hack squat hold with supinated row,,,,,,,,,
band mid half squat hold with supinated row,,,,,,,,,
band mid half sumo squat hold with row,,,,,,,,,
band mid half sumo squat hold with supinated row,,,,,,,,,
band mid lunge hold left with one arm chest flye,,,,,,,,,
band mid lunge hold right with one arm chest flye,,,,,,,,,
band mid lunge hold with one arm high row right and left,,,,,,,,,
band mid narrow band press,,,,,,,,,
band mid one arm chest press with twist left,,,,,,,,,
band mid one arm chest press with twist right,,,,,,,,,
band mid reverse lunge with row at bottom right,,,,,,,,,
band mid reverse lunge with row at top left,,,,,,,,,
band mid reverse lunge with row at top with right,,,,,,,,,
band mid speed row,,,,,,,,,
band mid sumo squat hold with supinated row,,,,,,,,,
band mid supinated row,,,,,,,,,
band mid supinated speed row,,,,,,,,,
boxing fast left right hook hook upper cut upper cut,,,,,,,,,
boxing left left right right jab jab cross cross,,,,,,,,,
kneeling 1 leg hip extension with left,,,,,,,,,
kneeling 1 leg hip extension with right,,,,,,,,,
stability ball alternating single leg squat,,,,,,,,,
stability ball hack squat,,,,,,,,,
stability ball power lunge right,,,,,,,,,
step body bar step up with curl,,,,,,,,,
step single leg lateral step jump with hip flexion left,,,,,,,,,
step single leg lateral step jump with hip flexion right,,,,,,,,,
step versa bag step up with hip extension,,,,,,,,,
step wp lateral step up with curl,,,,,,,,,
step wp squat lateral step up squat,,,,,,,,,
step wp step up with hip extension,,,,,,,,,
suspension alternating single leg curls,,,,,,,,,
suspension high row hold at 90 degrees,,,,,,,,,
suspension squat hold with high row,,,,,,,,,
1 Arm Band Lat Sweeps Alternating,,,,,,,,,
Band Chop High to Low Left,,,,,,,,,
Alternating Squat Jump Lunge Jump Combo,,,,,,,,,
Band Chop Low to High Right,,,,,,,,,
1 DB Reverse Lunge with Front Raise Left,,,,,,,,,
BB Curl,,,,,,,,,
Band Superman LB Focused,,,,,,,,,
1 Arm Band Lat Sweeps Left,,,,,,,,,
1 Arm Band Lat Sweeps Right,,,,,,,,,
1 DB Twist Crunch,,,,,,,,,
2 DB Lying Tricep Extension,,,,,,,,,
1 DB Curl with Front Press,,,,,,,,,
Band Chop High to,,,,,,,,,
Band Monster Walk,,,,,,,,,
Band Chop Low to High Left,,,,,,,,,
Band Bicep Curl,,,,,,,,,
Barbell Squat Step Up Squat,,,,,,,,,
Barbell Step Up with Hip Flexion and Extension,,,,,,,,,
BB Pelvic Lift,,,,,,,,,
Band Reverse Lunge with Twist Left,,,,,,,,,
Band Reverse Lunge with Twist right,,,,,,,,,
Bent Knee Twist Crunch - Alternating,,,,,,,,,
Boxing Squat Hold with Russian Twist,,,,,,,,,
Boxing Split Squat with Jab Right,,,,,,,,,
Band Chop High to Low Right,,,,,,,,,
Boxing Squat Hold with L Cross,,,,,,,,,
Bent Knee Twist Crunch Left,,,,,,,,,
Bridge Hold with BB Floor Press,,,,,,,,,
BB Lying Tricep Extension with Crunch,,,,,,,,,
BW Tall kneeling to Squat hold,,,,,,,,,
BB Front Rack Split Squat Right,,,,,,,,,
BB Single Leg RDL Right,,,,,,,,,
Barbell Step Up with Hip Extension,,,,,,,,,
BB Single Leg RDL Left,,,,,,,,,
BW Pause Squats,,,,,,,,,
BB Front Rack Split Squat Left,,,,,,,,,
BB Single Leg RDL Alternating,,,,,,,,,
Boxing Split Squat with Jab Left,,,,,,,,,
Bear Plank,,,,,,,,,
Barbell Squat Lateral Step Up Squat,,,,,,,,,
Band Superman UB Focused,,,,,,,,,
BB OH Tricep Extension,,,,,,,,,
Bear Crawl,,,,,,,,,
BB Split squat Left,,,,,,,,,
BB Split Squat Right,,,,,,,,,
Bent Knee Twist Crunch Right,,,,,,,,,
BB Bridge,,,,,,,,,
Boxing Lunge Hold with Jab Right,,,,,,,,,
Bridge Hold with WP Floor Press,,,,,,,,,
Barbell Step Up with Hip Flexion,,,,,,,,,
Caterpillar Walk Out with Plank up,,,,,,,,,
BB Bench Press off step ,,,,,,,,,
Boxing Lunge hold with Jab Left,,,,,,,,,
BW Hack Squat,,,,,,,,,
BB RDL with Calf Raise,,,,,,,,,
Boxing LR Elbows,,,,,,,,,
Band Bicep Curl Wall,,,,,,,,,
Boxing Stationary Lateral Lunge with LR at top,,,,,,,,,
DB Bridge Hold with Floor Press,,,,,,,,,
DB Bear Plank with Alternating Row,,,,,,,,,
DB 1 arm Uneven Lunge Right,,,,,,,,,
DB OH March,,,,,,,,,
DB Pelvic Lifts,,,,,,,,,
DB Goblet Split Squat Left,,,,,,,,,
DB Alternating Calf Raises,,,,,,,,,
Db Suitcase Squat Left,,,,,,,,,
Hollow Body Hold,,,,,,,,,
DB Alternating Curl with Front Press,,,,,,,,,
DB Goblet Lateral Lunge,,,,,,,,,
DB Single Leg RDL Right,,,,,,,,,
DB Reverse Lunge with Front Raise,,,,,,,,,
DB Caterpillar Walk Out,,,,,,,,,
DB 1 arm Uneven Lunge Left,,,,,,,,,
DB Caterpillar Walk Out with Row and Push Up,,,,,,,,,
DB Caterpillar Walk Out with Push Up,,,,,,,,,
DB Goblet Squat with OH Press,,,,,,,,,
DB Goblet Split Squat Right,,,,,,,,,
DB Goblet Squat,,,,,,,,,
DB Hack Squat,,,,,,,,,
DB goblet Sumo Squat,,,,,,,,,
DB Jump Squat with L-R Air Box at Bottom,,,,,,,,,
DB Goblet Sumo Squat with OH Press,,,,,,,,,
DB Lateral Raise,,,,,,,,,
DB Bridge,,,,,,,,,
DB March,,,,,,,,,
DB Pause Hack Squat,,,,,,,,,
DB Pause Squats,,,,,,,,,
DB RDL with Calf Raise,,,,,,,,,
DB Pause Sumo Squats,,,,,,,,,
DB RDL with Reverse Flye at bottom,,,,,,,,,
DB Split Squat with 1 Arm OH Press Left,,,,,,,,,
DB Suitcase Squat Right,,,,,,,,,
DB Squat with Alt Front Raise,,,,,,,,,
DB Reverse Lunge to DB Squat,,,,,,,,,
DB Single Leg RDL Left,,,,,,,,,
Dead Bug,,,,,,,,,
DB Single Leg RDL Alternating,,,,,,,,,
Frog Pump,,,,,,,,,
DB Split Squat with 1 Arm OH Press Right,,,,,,,,,
DB Sumo Squat no pause,,,,,,,,,
DB Single Arm OH Tricep Extension,,,,,,,,,
Front Foot Elevated Split Squat Left,,,,,,,,,
Front Foot Elevated Split Squat Right,,,,,,,,,
DB Caterpillar Walk Out with Alternating Row,,,,,,,,,
High Push Up HOLD,,,,,,,,,
DB Kickbacks,,,,,,,,,
Lateral Band Walk,,,,,,,,,
Long Jump with 3 Hop Back,,,,,,,,,
MB Bridge with Front Press,,,,,,,,,
MB Bridge,,,,,,,,,
Lateral Skips with Ankle Hops,,,,,,,,,
MB Low Stationary Lunge,,,,,,,,,
MB 1-arm Uneven Reverse Lunge Left,,,,,,,,,
MB 1-arm Uneven Reverse Lunge Right,,,,,,,,,
MB Kneel to Squat Hold,,,,,,,,,
MB Lunge HOLD with Twist Left,,,,,,,,,
MB Lunge HOLD with Twist Right,,,,,,,,,
MB Pelvic Lift,,,,,,,,,
MB SA Upper Body Crunch HOLD,,,,,,,,,
MB Split Squat with OH Press Left,,,,,,,,,
MB Lunge Hold with Front Press Left,,,,,,,,,
Narrow Wall Push Up,,,,,,,,,
MB Up Down with Big Circle,,,,,,,,,
Rev Lunge to Step Up with Hip Flexion Left,,,,,,,,,
Reverse Lunge to Squat,,,,,,,,,
Rev Lunge to Step Up with Hip Flexion,,,,,,,,,
Rev Lunge to Step Up with Hip Flexion Right,,,,,,,,,
Lateral Skip with Squat,,,,,,,,,
Sandbell 1-Arm Curl to OH Press Left,,,,,,,,,
Sandbell Bent over 1 arm row Left,,,,,,,,,
Sandbell 1-arm Curl to OH Press Right,,,,,,,,,
Sandbell Chop - Left,,,,,,,,,
Sandbell Chops Right,,,,,,,,,
Sandbell Bent Over 1 arm Row,,,,,,,,,
Sandbell Frog Pump,,,,,,,,,
Sandbell Curl to OH Press,,,,,,,,,
Sandbell Lunge Hold with Row Left,,,,,,,,,
Sandbell OH Squat,,,,,,,,,
Sandbell Reverse Lunge with Twist Alternating,,,,,,,,,
Sandbell Stepping Lunge with Twist Right,,,,,,,,,
Sandbell Push up with Flip,,,,,,,,,
Sandbell Reverse Lunge with Twist Left,,,,,,,,,
Sandbell Tall Kneeling to Squat Hold,,,,,,,,,
Sandbell Squat with Front Raise,,,,,,,,,
Sandbell Squat Curl OH Press Slam,,,,,,,,,
SB 1 Leg Bridge Left,,,,,,,,,
Sandbell Lunge Hold with Row Right,,,,,,,,,
Sandbell Stepping Lunge with Twist Alternate,,,,,,,,,
Sandbell Front Squat,,,,,,,,,
SB 1 Leg Curl with Right,,,,,,,,,
Sandbell Reverse Lunge with Twist Right,,,,,,,,,
MB Straigh Leg Crunch,,,,,,,,,
Sandbell Swings,,,,,,,,,
Sandbell Stepping Lunge with Twist Left,,,,,,,,,
Sandbell Russian Twist,,,,,,,,,
MB Straight Leg Twist Crunch,,,,,,,,,
Sandbell Ribbon,,,,,,,,,
Sandbell Slams,,,,,,,,,
SB 1 leg Bridge Right,,,,,,,,,
SB Dead Bug between Legs,,,,,,,,,
SB 1 Leg Curl with Left,,,,,,,,,
SB Plank with Lateral Walk Out,,,,,,,,,
Side Plank with DB Lateral Raise Right,,,,,,,,,
SB Hand to Foot Exchange,,,,,,,,,
SB Straight Arm Crunch,,,,,,,,,
Side Plank with DB Lateral Raise Left,,,,,,,,,
Side Plank with Straight Leg Toe Touch Right,,,,,,,,,
Side Plank with Hip Abudction Right,,,,,,,,,
MB Split Squat with Front Press Right,,,,,,,,,
Side Plank with Straight Leg Toe Touch Left,,,,,,,,,
Side Plank with Hip Abduction Left,,,,,,,,,
Single Leg Eccentric Squat to Step Alternate,,,,,,,,,
Squat Hold with band Pull Aparts,,,,,,,,,
Single Leg Eccentric Squat to Step,,,,,,,,,
Single Leg Eccentric Squat to Step Left,,,,,,,,,
Squat Hold with R Cross,,,,,,,,,
Stationary Lunge Hold with Twist Right,,,,,,,,,
Stationary Lunge Hold with Twist Left,,,,,,,,,
Step Banded Frog Pumps,,,,,,,,,
Squat with Band Pull apart Hold and OH Reach,,,,,,,,,
Step Banded Prone Reverse Hyper,,,,,,,,,
Step Barbell Split Squat Right,,,,,,,,,
SB Marching Hip Thrust HOLD,,,,,,,,,
SB Pelvic Lift between Legs,,,,,,,,,
SB Modified Roll Out,,,,,,,,,
Single Leg Eccentric Squat to Step Right,,,,,,,,,
MB Twist Crunch,,,,,,,,,
MB Straight Leg Crunch,,,,,,,,,
MB Lunge Hold with Front Press Right,,,,,,,,,
MB Split Squat with Front Press Left,,,,,,,,,
MB Split Squat with OH Press Right,,,,,,,,,
MB Upper Body Crunch,,,,,,,,,
Step BB Hip Thrust,,,,,,,,,
Step DB Pullover,,,,,,,,,
Step Heel Elevated Pelvic Lift Bilateral,,,,,,,,,
Step Front Rack Split Squat,,,,,,,,,
Step Split Squat with Front Raise Left,,,,,,,,,
Suspension Reverse Flye,,,,,,,,,
WP Single Leg RDL Alternating,,,,,,,,,
Step BB Pullover,,,,,,,,,
Stepping Lunge to Squat,,,,,,,,,
Suspension Single Arm Row Left,,,,,,,,,
Step Decline Plank,,,,,,,,,
Suspension Chest Press Hold with Hip Abduction,,,,,,,,,
Suspension Mountain Climber Push Combo,,,,,,,,,
Thai Plank Right,,,,,,,,,
WP Upper Body Crunch,,,,,,,,,
Wall Press Abs Right,,,,,,,,,
Step Bench Row,,,,,,,,,
Step Heel Elevated Bridge HOLD Bilateral,,,,,,,,,
Step Split Squat with Front Raise Right,,,,,,,,,
Step Bridge Hold with Walk Up,,,,,,,,,
Sumo Wall Sit,,,,,,,,,
Suspension Cycling Lunge Jump,,,,,,,,,
Step WP Pullover,,,,,,,,,
Step Split Squat with DB OH Press Left,,,,,,,,,
Suspension Pike,,,,,,,,,
Step Split Squat with DB OH Press Right,,,,,,,,,
Step Heel Elevated Pelvic Lift Left,,,,,,,,,
Step Split Squat with DB Bicep Curl Left,,,,,,,,,
WP Single Leg RDL Left,,,,,,,,,
Suspension Single Leg Squat Jump Left,,,,,,,,,
Wall Press Abs Left,,,,,,,,,
Step Decline Plank-Up,,,,,,,,,
Step Prone Reverse Hyper,,,,,,,,,
Suspension Straight Arm Front Raise,,,,,,,,,
WP Suitcase Squat Left,,,,,,,,,
Step Heel Elevated Bridge Hold Left,,,,,,,,,
Suspension Squat with Single Arm Row Left,,,,,,,,,
WP Suitcase Squat Right,,,,,,,,,
Wall Sit with Bag Russian Twist,,,,,,,,,
Step Front Rack Split Squat Left,,,,,,,,,
Step Split Squat with Hammer Front Raise Right,,,,,,,,,
Suspension Single Leg Squat Jump Right,,,,,,,,,
Step MB pullover,,,,,,,,,
WP Low Stationary Lunge,,,,,,,,,
Wall Push Up Hold with Alternating Hip Abduction,,,,,,,,,
Suspension Squat with Single Arm Row Right,,,,,,,,,
Suspension Tricep Pushdown,,,,,,,,,
Uneven Plank Left,,,,,,,,,
Step Heel Elevated Pelvic Lift,,,,,,,,,
Step Split Squat with Hammer Front Raise Left,,,,,,,,,
Uneven Plank Right,,,,,,,,,
WP Single Leg RDL Right,,,,,,,,,
Suspension Stationary Lunge Jump,,,,,,,,,
WP Bridge,,,,,,,,,
Wall Sit with Band Pull Aparts,,,,,,,,,
WP RDL,,,,,,,,,
WP Tall Kneeling to Squat Hold,,,,,,,,,
Suspension Supinated Row,,,,,,,,,
Suspension Squat Jump,,,,,,,,,
Suspension Ys,,,,,,,,,
Thai Plank Left,,,,,,,,,
Step Hip thrust,,,,,,,,,
Suspension Low Row,,,,,,,,,
Step Front Rack Split Squat Right,,,,,,,,,
WP Stragiht Leg Crunch,,,,,,,,,
WP March,,,,,,,,,
WP Split Squat Left,,,,,,,,,
WP Sumo Hack Jump Squat Combo,,,,,,,,,
WP Pelvic Lifts,,,,,,,,,
Step Bench Row Left,,,,,,,,,
Step Heel Elevated Bridge Hold Right,,,,,,,,,
Suspension Hack to Sumo Squat Jump,,,,,,,,,
Step Split Squat with DB Bicep Curl Right,,,,,,,,,
Step Split Squat with DB OH Press,,,,,,,,,
Suspension Supinated Row to Pushdown,,,,,,,,,
Suspension High Row,,,,,,,,,
Step Split Squat with Lateral Raise Left,,,,,,,,,
Versabag Swings,,,,,,,,,
suspension Stationary Lunge Jump Left,,,,,,,,,
WP Bridge HOLD with Floor Press,,,,,,,,,
WP pause Squats,,,,,,,,,
