Exercise Name,Day last selected,Modality,Cardio or Strength,Impact?,Anterior/Posterior,Station Number,Equipment,,KEY
db lunge hold w row right,,,,,,,,,
db lunge hold with curl left leg,,,,,,,,,
db lunge hold with curl right leg,,,,,,,,,
db lunge hold with oh press left,,,,,,,,,
db lunge hold with oh press right,,,,,,,,,
db lunge jumps,,,,,,,,,
db modified push up hold with row and kickback,,,,,,,,,
db modified push up with row and kickback,,,,,,,,,
db modified push with row,,,,,,,,,
db narrow grip floor press with crunch,,,,,,,,,
db narrow grip floor press with straight leg crunch,,,,,,,,,
db narrow grip floor press,,,,,,,,,
db power lunge left,,,,,,,,,
db push up hold with row and kickback,,,,,,,,,
db push up hold with row,,,,,,,,,
db push up with row and kickback,,,,,,,,,
db push up with row,,,,,,,,,
db rdl with upright row,,,,,,,,,
db rdl,,,,,,,,,
db reverse lunge w curl right,,,,,,,,,
db reverse lunge w curl,,,,,,,,,
db reverse lunge with oh press left,,,,,,,,,
db reverse lunge with oh press right,,,,,,,,,
db reverse lunge with oh press,,,,,,,,,
db reverse lunge,,,,,,,,,
db single leg wall sit with curl and oh press with right leg,,,,,,,,,
db squat hold w l r air boxing,,,,,,,,,
db squat jump oh press,,,,,,,,,
db squat w curl,,,,,,,,,
db squat w upright row,,,,,,,,,
db squat,,,,,,,,,
db stationary lunge left,,,,,,,,,
db stationary lunge right,,,,,,,,,
db stationary lunge w curl left,,,,,,,,,
db stationary lunge w curl right,,,,,,,,,
db stationary lunge w hip ext left,,,,,,,,,
db stationary lunge w hip ext right,,,,,,,,,
db stationary lunge with oh press left,,,,,,,,,
db stationary lunge with oh press right,,,,,,,,,
db stepping lunge reverse lunge left,,,,,,,,,
db stepping lunge reverse lunge right,,,,,,,,,
db stepping lunge w curl left,,,,,,,,,
db stepping lunge w curl right,,,,,,,,,
db stepping lunge w curl,,,,,,,,,
db stepping lunge w lateral raise,,,,,,,,,
db stepping lunge with oh press left,,,,,,,,,
db stepping lunge with oh press right,,,,,,,,,
db stepping lunge,,,,,,,,,
db straight leg alternate floor press,,,,,,,,,
db straight leg floor press,,,,,,,,,
db sumo squat w upright row,,,,,,,,,
db up down w curl,,,,,,,,,
